sku,total_qty,unique_orders,total_revenue
VANDOR5,5200.0,256,50345.0
VANDOR5-6X,2399.0,2341,165929.36000000002
MASAOR5,1580.0,70,20390.0
VANDHD5,1540.0,76,19155.0
VANDMIX5-OR3X-HD1X-FO1X-SH1X,1133.0,1064,79638.73
VANDOR5-4X,660.0,639,19828.4
MASAMIX5-OR1X-LI1X-CO1X-BL1X-CHR1X-WH1X,600.0,566,43653.54
VANDMIX5-OR3X-HD3X-FO3X-SH3X,599.0,595,67274.7
VANDMIX5-OR2X-HD2X-FO2X-SH2X,567.0,565,45166.31
MASACO5,520.0,25,12310.0
VANDSH5-6X,479.0,478,28743.28
MASALI5,442.0,23,10440.0
MASACHR5,442.0,22,11380.0
MASAMIX5-OR2X-LI2X-CO2X-BL2X-CHR2X-WH2X,411.0,405,42954.49
VANDOR5-12X,379.0,377,46651.01
MASAWH5,360.0,14,8170.0
MASABL5,340.0,15,10500.0
VANDOR5-8X,328.0,328,29213.78
MASAMIX5-BL6X-OR1X-LI1X-CO1X-WH1X,252.0,247,19183.85
MASAMIX5-OR6X-LI1X-CO1X-BL1X-WH1X,229.0,221,19496.25
MASAWH5-6X,224.0,222,21074.14
MASALI-6X,175.0,172,17319.9
VANDMIX5-OR7X-HD1X-SH1X-FO1X,171.0,168,12240.82
MASAOR-6X,161.0,158,16871.0
VANDMIX5-OR2X-HD2X,156.0,156,52.0
VANDOR5-20X,152.0,125,28878.63
MASAMIX5-OR2X-BL2X-WH2X,134.0,124,11107.130000000001
MASACO5-6X,108.0,107,14488.11
MASAMIX5-OR5X-LI1X-BL1X-CO1X,106.0,106,8061.69
MASAWH5-4X,86.0,57,2700.83
MASAOR5-12X,79.0,79,11270.42
MASAOR5-4X,77.0,73,4917.7300000000005
MASAWH5-20X,65.0,42,7817.320000000001
MASACHR5-6X,64.0,64,9212.75
MASABL5-6X,58.0,58,8351.51
MASAMIX5-OR4X-BL4X-WH4X,57.0,56,7299.860000000001
MASAWH5-12X,56.0,54,6835.88
VANDSH5-2X,54.0,45,0.0
MASAMIX5-OR10X-VANDMIX5-OR10X,50.0,49,8372.32
VANDFO5-6X,48.0,46,4161.49
MASAOR5-8X,47.0,46,4657.32
MASAMIX5-OR10X-LI5X-CO5X,46.0,42,9004.48
MASAMIX5-OR7X-LI1X-CO1X-BL1X-WH1X-CHR1X,44.0,43,4384.84
MASAOR5-20X,38.0,37,7968.58
MASAMIX5-OR4X-LI4X-CO4X-BL4X-CHR4X,37.0,35,7164.08
VANDOR5-2X,34.0,31,11.96
GATGF14-3X,29.0,26,2866.43
VANDSH5-12X,27.0,27,2820.17
VANDMIX5-OR6X-MASAMIX5-OR4X,26.0,26,2758.91
MASACO5-12X,26.0,26,3956.88
MASAMIX5-LI2X-CO2X-CHR2X,25.0,25,2311.46
MASALI5-4X,24.0,23,1585.85
MASACHR5-4X,23.0,23,2807.67
MASAOR5-6X,21.0,18,1164.84
MASALI5-12X,20.0,19,3550.98
GATGF14-6X,20.0,17,2840.5299999999997
VANDSH5-4X,17.0,16,855.89
MASABL5-12X,16.0,16,2789.87
MASABL5-4X,16.0,16,-661.1499999999999
MASACO5-4X,16.0,16,1095.66
MASAMIX5-OR20X-LI10X-CO10X,15.0,15,4999.47
VANDHD5-6X,15.0,15,1191.72
MASACO5-8X,15.0,13,1674.03
MASABL12-4X,13.0,13,1209.2
MASAMIX5-OR2X-BL2X-CO2X,13.0,13,1002.62
MASAMIX5-LI4X-CO4X-CHR4X,13.0,13,1703.44
MASAMIX5-OR1X-LI1X-CO1X-BL1X-CHR1X-WH1X-GATGF14-1X,11.0,11,0.0
MASABL5-20X,9.0,6,2095.12
MASAMIX5-OR2X-LI2X-CO2X,9.0,9,757.08
MASAWH5-8X,8.0,7,372.56
MASALI5-20X,8.0,8,2092.29
